ticker,name,sector,industry,country,list_market_cap,list_price,list_volume
A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,48728583125.0,172.84,3053449
AA,Alcoa Corporation Common Stock,Industrials,Aluminum,United States,11263655113.0,42.68,4592243
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,Industrials,Metal Fabrications,,710984898.0,10.07,4511
AACG,ATA Creativity Global American Depositary Shares,Real Estate,Other Consumer Services,China,56523895.0,0.8256,2762
AACI,Armada Acquisition Corp. III Class A Ordinary Share,Finance,Blank Checks,United States,0.0,10.05,25183
AACIW,Armada Acquisition Corp. III Warrant,Finance,Blank Checks,United States,0.0,0.2209,9845
AACO,Abony Acquisition Corp. I Class A Ordinary Share,Other,,United States,0.0,10.0,12
AACOU,Abony Acquisition Corp. I Units,Other,,United States,0.0,10.1,525
AACP,Apogee Acquisition Corp Class A Ordinary Shares,Finance,Blank Checks,United States,0.0,10.1,9
AADX,Applied Aerospace & Defense Inc. Common Stock,Industrials,Military/Government/Technical,,2196293419.0,12.74,1687216
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,United States,8837298846.0,13.35,84063209
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,United States,26720369.0,1.31,9258
AAMI,Acadian Asset Management Inc. Common Stock,Finance,Investment Managers,United Kingdom,3311938745.0,93.32,254634
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,United States,8578082378.0,101.03,5553225
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,United States,6948368159.0,84.27,1316006
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,United States,2502372000.0,41.43,1668912
AAPG,Ascentage Pharma Group International American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations,China,1421424246.0,15.23,15456
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,United States,4902476945600.0,335.92,24733329
AARD,Aardvark Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,121460895.0,5.55,96102
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,1319576537.0,21.49,290837
AAUC,Allied Gold Corporation Common Shares,Other,,,3072621041.0,22.05,404760
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers,United States,3295793505.0,35.41,516371
ABAT,American Battery Technology Company Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),United States,320799956.0,2.25,2027343
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,468498134599.0,265.12,3458170
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,United States,5488701078.0,81.79,478928
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,Canada,4097404942.0,12.65,4990691
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,310509212.0,5.43,852444
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution),Brazil,45866368780.0,2.91,11181678
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States,3230267945.0,179.94,222705
ABLV,Able View Global Inc. Class B Ordinary Shares,Consumer Discretionary,Other Consumer Services,China,62951742.0,1.14,210603
ABLVW,Able View Global Inc. Warrant,Consumer Discretionary,Other Consumer Services,China,723393.0,0.0131,5829
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,2903766888.0,49.54,370267
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,90650164398.0,151.39,8597733
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,161629132.0,2.235,265865
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,United States,759291235.0,4.07,7302578
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,Other,,United States,,15.2,8625
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,Other,,United States,,15.01,5458
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,Other,,United States,,21.6,8001
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,United States,1775346933.0,10.345,3388162
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,174889839727.0,101.07,6216822
ABTC,American Bitcoin Corp. Class A Common Stock,Finance,Finance: Consumer Services,United States,699069245.0,9.6,1351716
ABTS,Abits Group Inc Ordinary Shares,Finance,Finance: Consumer Services,China,4050201.0,1.26,11809
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Canada,965497435.0,4.88,6263027
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,29053258.0,1.09,64298
ABVX,Abivax SA American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,France,8167788535.0,94.87,1663284
ABX,Abacus Global Management Inc. Class A Common Stock,Finance,Investment Managers,United States,808741899.0,8.27,960678
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,Finance,Investment Managers,United States,1890918620.0,25.33,12046
ACA,Arcosa Inc. Common Stock,Industrials,Metal Fabrications,United States,7195129655.0,146.52,768177
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks,United States,0.0,10.02,12913
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,3821736389.0,22.18,6761781
ACB,Aurora Cannabis Inc. Common Shares,Health Care, Medicinal Chemicals and Botanical Products ,Canada,257740804.0,4.16,693005
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services,Hong Kong,35167000.0,2.53,13258
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Publishing,United States,396922542.0,4.3,485112
ACCS,ACCESS Newswire Inc. Common Stock,Consumer Discretionary,Professional Services,United States,18217967.0,4.76,4101
